"country","distinctgeogs","uncheckedgeogs","percentunchecked"
"United States",77179,0,100.00
"Mexico",6722,0,100.00
"Canada",4995,0,100.00
"Brazil",4318,0,100.00
"null",3529,0,100.00
"United Kingdom",2497,0,100.00
"Philippines",2369,0,100.00
"China",2175,0,100.00
"Indonesia",2158,0,100.00
"Spain",1937,0,100.00
"France",1812,0,100.00
"Australia",1700,0,100.00
"Papua New Guinea",1665,0,100.00
"Colombia",1554,0,100.00
"India",1526,0,100.00
"Japan",1509,0,100.00
"Argentina",1502,0,100.00
"Russia",1489,0,100.00
"Kenya",1282,0,100.00
"Peru",1273,0,100.00
"Ecuador",1151,0,100.00
"Germany",1070,0,100.00
"Venezuela",1050,0,100.00
"Puerto Rico",1023,0,100.00
"South Africa",982,0,100.00
"Costa Rica",914,0,100.00
"Malaysia",903,0,100.00
"Tanzania",794,0,100.00
"Chile",773,0,100.00
"Sweden",756,0,100.00
"Italy",744,0,100.00
"Pakistan",743,0,100.00
"Guatemala",731,0,100.00
"Panama",723,0,100.00
"Thailand",709,0,100.00
"Democratic Republic of the Congo",688,0,100.00
"Bahamas",661,0,100.00
"Bolivia",659,0,100.00
"Honduras",607,0,100.00
"Uganda",604,0,100.00
"Dominican Republic",599,0,100.00
"New Zealand",571,0,100.00
"Madagascar",512,0,100.00
"Trinidad and Tobago",509,0,100.00
"Cuba",474,0,100.00
"Cameroon",456,0,100.00
"French Polynesia",425,0,100.00
"Paraguay",420,0,100.00
"Myanmar",413,0,100.00
"Jamaica",403,0,100.00
"Egypt",391,0,100.00
"Solomon Islands",381,0,100.00
"Vietnam",371,0,100.00
"Nicaragua",370,0,100.00
"Fiji",365,0,100.00
"Taiwan",349,0,100.00
"Zimbabwe",338,0,100.00
"Morocco",327,0,100.00
"Sri Lanka",317,0,100.00
"Zambia",302,0,100.00
"Namibia",292,0,100.00
"Mongolia",292,0,100.00
"Ethiopia",292,0,100.00
"Norway",284,0,100.00
"Switzerland",280,0,100.00
"Austria",278,0,100.00
"Ireland",272,0,100.00
"Iran",270,0,100.00
"El Salvador",264,0,100.00
"Guyana",262,0,100.00
"Sudan",240,0,100.00
"Ukraine",239,0,100.00
"Antarctica",236,0,100.00
"Portugal",233,0,100.00
"Haiti",231,0,100.00
"Malawi",230,0,100.00
"Greece",224,0,100.00
"Czech Republic",223,0,100.00
"Nigeria",219,0,100.00
"Federated States of Micronesia",218,0,100.00
"Poland",217,0,100.00
"Belize",214,0,100.00
"Finland",214,0,100.00
"Angola",207,0,100.00
"Uruguay",207,0,100.00
"Netherlands",205,0,100.00
"Virgin Islands of the United States",203,0,100.00
"Denmark",202,0,100.00
"Algeria",202,0,100.00
"Romania",201,0,100.00
"Marshall Islands",200,0,100.00
"Turkey",199,0,100.00
"Tunisia",195,0,100.00
"Seychelles",194,0,100.00
"Iceland",182,0,100.00
"Gabon",181,0,100.00
"Kazakhstan",177,0,100.00
"South Korea",176,0,100.00
"Vanuatu",173,0,100.00
"Belgium",166,0,100.00
"Suriname",165,0,100.00
"Somalia",159,0,100.00
"Ghana",155,0,100.00
"Greenland",154,0,100.00
"New Caledonia",154,0,100.00
"Liberia",153,0,100.00
"Saint Vincent and the Grenadines",150,0,100.00
"Mozambique",150,0,100.00
"Nepal",149,0,100.00
"Estonia",146,0,100.00
"Senegal",142,0,100.00
"Dominica",141,0,100.00
"Kiribati",133,0,100.00
"Tonga",131,0,100.00
"Hungary",131,0,100.00
"Palau",127,0,100.00
"Northern Mariana Islands",127,0,100.00
"Botswana",126,0,100.00
"Georgia",122,0,100.00
"French Guiana",114,0,100.00
"Côte d'Ivoire",113,0,100.00
"Guinea",109,0,100.00
"Samoa",104,0,100.00
"Bermuda",103,0,100.00
"United States Minor Outlying Islands",103,0,100.00
"Falkland Islands (Malvinas)",101,0,100.00
"Uzbekistan",95,0,100.00
"Turkmenistan",95,0,100.00
"British Virgin Islands",95,0,100.00
"Guadeloupe",94,0,100.00
"Saint Lucia",94,0,100.00
"Israel",93,0,100.00
"American Samoa",88,0,100.00
"Mauritius",87,0,100.00
"Afghanistan",86,0,100.00
"Barbados",84,0,100.00
"Cayman Islands",84,0,100.00
"Laos",83,0,100.00
"Grenada",83,0,100.00
"Antigua and Barbuda",81,0,100.00
"Equatorial Guinea",78,0,100.00
"Mali",78,0,100.00
"Central African Republic",76,0,100.00
"Saint Helena, Ascension and Tristan da Cunha",75,0,100.00
"Libya",75,0,100.00
"São Tomé and Príncipe",73,0,100.00
"Guam",71,0,100.00
"French Southern Territories",68,0,100.00
"Azerbaijan",68,0,100.00
"Bangladesh",67,0,100.00
"Croatia",66,0,100.00
"Comoros",66,0,100.00
"Saudi Arabia",65,0,100.00
"Niger",64,0,100.00
"Cambodia",63,0,100.00
"Turks and Caicos Islands",63,0,100.00
"Cabo Verde",63,0,100.00
"Saint Kitts and Nevis",61,0,100.00
"Cook Islands",61,0,100.00
"South Georgia and the South Sandwich Islands",61,0,100.00
"Armenia",60,0,100.00
"Sierra Leone",59,0,100.00
"Martinique",58,0,100.00
"Yemen",57,0,100.00
"Oman",53,0,100.00
"Iraq",52,0,100.00
"Congo",50,0,100.00
"Chad",50,0,100.00
"Mauritania",50,0,100.00
"Singapore",48,0,100.00
"Tajikistan",45,0,100.00
"Bonaire, Sint Eustatius and Saba",44,0,100.00
"Timor-Leste",41,0,100.00
"Burundi",40,0,100.00
"Kyrgyzstan",40,0,100.00
"Bulgaria",40,0,100.00
"Rwanda",39,0,100.00
"Curaçao",39,0,100.00
"Pitcairn Islands",38,0,100.00
"Bosnia and Herzegovina",38,0,100.00
"Slovakia",38,0,100.00
"Benin",38,0,100.00
"Aruba",37,0,100.00
"Montserrat",37,0,100.00
"Burkina Faso",36,0,100.00
"Eritrea",36,0,100.00
"Latvia",35,0,100.00
"Lebanon",35,0,100.00
"Gambia",34,0,100.00
"Kuwait",33,0,100.00
"United Arab Emirates",32,0,100.00
"Réunion",32,0,100.00
"Cyprus",32,0,100.00
"Faroe Islands",31,0,100.00
"Hong Kong",31,0,100.00
"Palestine",30,0,100.00
"Serbia",30,0,100.00
"Syria",27,0,100.00
"Malta",26,0,100.00
"Svalbard and Jan Mayen",25,0,100.00
"Norfolk Island",25,0,100.00
"Maldives",25,0,100.00
"Slovenia",25,0,100.00
"Anguilla",24,0,100.00
"Brunei Darussalam",23,0,100.00
"Jordan",23,0,100.00
"Guinea-Bissau",22,0,100.00
"North Korea",22,0,100.00
"Wallis and Futuna",20,0,100.00
"Macedonia",18,0,100.00
"Moldova",17,0,100.00
"Djibouti",17,0,100.00
"Montenegro",17,0,100.00
"Albania",16,0,100.00
"Swaziland",15,0,100.00
"Cocos (Keeling) Islands",14,0,100.00
"Bahrain",13,0,100.00
"Saint-Barthélemy",13,0,100.00
"Bhutan",13,0,100.00
"Luxembourg",12,0,100.00
"India, Nepal",12,0,100.00
"Lesotho",12,0,100.00
"Lithuania",11,0,100.00
"Andorra",11,0,100.00
"Isle of Man",10,0,100.00
"Gibraltar",10,0,100.00
"Belarus",10,0,100.00
"Mayotte",9,0,100.00
"British Indian Ocean Territory",9,0,100.00
"Gambia, Senegal",9,0,100.00
"Jersey",9,0,100.00
"Western Sahara",9,0,100.00
"Nauru",9,0,100.00
"Tuvalu",8,0,100.00
"Democratic Repulbic of the Congo",8,0,100.00
"Christmas Island",8,0,100.00
"Togo",7,0,100.00
"Qatar",6,0,100.00
"South Sudan",6,0,100.00
"Sint Maarten",6,0,100.00
"Niue",6,0,100.00
"Tokelau",6,0,100.00
"India, Myanmar",5,0,100.00
"Heard Island and McDonald Islands",5,0,100.00
"Canada, United States",5,0,100.00
"Egypt, Sudan",5,0,100.00
"Saint Pierre and Miquelon",5,0,100.00
"Mexico, United States",4,0,100.00
"Malaysia, Thailand",4,0,100.00
"Colombia, Ecuador",3,0,100.00
"Macao",3,0,100.00
"Kenya, Uganda",3,0,100.00
"Liechtenstein",3,0,100.00
"Bangladesh, India",3,0,100.00
"Zambia, Zimbabwe",3,0,100.00
"Brazil, Guyana",3,0,100.00
"Norway, Sweden",2,0,100.00
"Malaysia, Singapore",2,0,100.00
"Democratic Republic of the Congo, Rwanda",2,0,100.00
"Saint-Martin",2,0,100.00
"Guernsey",2,0,100.00
"Malazi, Mozambique",2,0,100.00
"Montenegro, Serbia",2,0,100.00
"Monaco",2,0,100.00
"Costa Rica, Panama",2,0,100.00
"Brazil, Peru",2,0,100.00
"Ecuador, Peru",2,0,100.00
"Suriname, Venezuela",2,0,100.00
"United Stattes",2,0,100.00
"Botswana, South Africa",2,0,100.00
"Turkmenistan, Uzbekistan",2,0,100.00
"Cameroon, Cental African Republic",2,0,100.00
"India, Pakistan",2,0,100.00
"Argentina, Chile",2,0,100.00
"Brazil, Colombia",2,0,100.00
"Burundi, Rwanda",1,0,100.00
"Costa Rica, Nicaragua",1,0,100.00
"Czech Republic, Poland",1,0,100.00
"Democratic Republic of Congo, Tanzania",1,0,100.00
"Jordan, Palestine",1,0,100.00
"Colombia, Panama",1,0,100.00
"France, Spain",1,0,100.00
"Kazakhstan, Russia",1,0,100.00
"Ecuador, Venezuela",1,0,100.00
"Finland, Russia",1,0,100.00
"Guatemala, Mexico",1,0,100.00
"Kosovo",1,0,100.00
"Israel, Jordan, Palestine",1,0,100.00
"Tanzania, Zambia",1,0,100.00
"China, India",1,0,100.00
"Japan, Russia",1,0,100.00
"San Marino",1,0,100.00
"Chile, Peru",1,0,100.00
"South Africa, Swaziland",1,0,100.00
"Finland, Norway, Sweden",1,0,100.00
"Brazil, Venezuela",1,0,100.00
"China, Mongolia",1,0,100.00
"Austria, Hungary",1,0,100.00
"Colombia, Venezuela",1,0,100.00
"Vatican City",1,0,100.00
"Malawi, Mozambique, Tanzania",1,0,100.00
"Bolivia, Peru",1,0,100.00
"Russia, Turkey",1,0,100.00
"United States, Canada",1,0,100.00
"Brazil, Paraguay",1,0,100.00
"Lebanon, Syria",1,0,100.00
"Moldova, Ukraine",1,0,100.00
"Cameroon, Nigeria",1,0,100.00
"Ethiopia, Kenya",1,0,100.00
"Argentina, Uruguay",1,0,100.00
"Argentina, Paraguay",1,0,100.00
"West Bank",1,0,100.00
"Namibia, South Africa",1,0,100.00
"Argentina, Brazil",1,0,100.00
"Angola, Congo",1,0,100.00
"Palestine, Syria",1,0,100.00
"Bolivia, Brazil",1,0,100.00
"Indonesia, Malaysia",1,0,100.00
"Bhutan, India",1,0,100.00
