"verbatimEstablishmentMeans","standardEstablishmentMeans","uri","checked","opinionBy","opinionDate"
"?","unknown",,"-1","John Wieczorek","2017-08-25"
"accidental transport","introduced",,"-1","John Wieczorek","2017-08-25"
"captive","managed",,"-1","John Wieczorek","2017-08-25"
"cultivated","managed",,"-1","John Wieczorek","2017-08-25"
"domestic","managed",,"-1","John Wieczorek","2017-08-25"
"domestic?","unknown",,"-1","John Wieczorek","2017-08-25"
"domesticated","managed",,"-1","John Wieczorek","2017-08-25"
"eM",,,"-1","John Wieczorek","2017-08-25"
"escaped from captivity","introduced",,"-1","John Wieczorek","2017-08-25"
"human deposition","human deposition",,"-1","John Wieczorek","2017-08-25"
"invasive","invasive",,"-1","John Wieczorek","2017-08-25"
"managed","managed",,"-1","John Wieczorek","2017-08-25"
"native","native",,"-1","John Wieczorek","2017-08-25"
"Nativo","native",,"-1","John Wieczorek","2017-08-25"
"purchased","unknown",,"-1","John Wieczorek","2017-08-25"
"Uncertain","unknown",,"-1","John Wieczorek","2017-08-25"
"unknown","unknown",,"-1","John Wieczorek","2017-08-25"
"wild","native",,"-1","John Wieczorek","2017-08-25"
"wild caught","native",,"-1","John Wieczorek","2017-08-25"
